Nome;Endereço;Telefone;Horário de Atedimento ;Lat ;Log 
AC Água Branca - Agência Correio;Rua Doutor Miguel TorresNome, 19  - Centro Nome,Água Branca - AL CEP: 57490-970;(82) 3644-1130;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.263258;-37.936273
AC São Luis do Quitunde - Agência Correio;Rua Doutor Fernado Sarmento Nome, 275  - Centro Nome,São Luis do Quitunde - AL CEP: 57920-970;(82) 3254-1122;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.320234;-35.560428
AC Colônia Leopoldina - Agência Correio;Praça Dom Pedro IINome, 226  - Centro Nome,Colônia Leopoldina - AL CEP: 57975-970;(82) 3255-1155;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-8.911381;-35.72375
AC Flexeiras- Agência Correio;Rua Coronel  Alcantara  Nome, s/n- Centro Nome,Flexeiras- AL CEP: 57995-970;(82) 3256-1148;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.275195;-35.726004
AC Paripueira - Agência Correio;Avenida Antônio Reinaldo Nome, 45  - Centro Nome,Paripueira - AL CEP: 57935-970;(82) 3293-1551;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.466732;-35.549364
AC Anadia - Agência Correio;Rua Doutor Fermandes Lima Nome, 51  - Centro Nome,Anadia - ALCEP: 57660-970;(82) 3277-1114;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.684024;-36.30456
AC Arapiraca  - Agência Correio;Praça Luiz Pereira LimaNome, s/n - Centro Nome,Arapiraca - AL CEP: 57300-970;(82) 3522-1859 - FAX: (82) 3522-1483;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: -";-9.753713;-36.660469
AC Arapiraca  - Agência Correio;Rua Paulo AfonsoNome, 329  - Primavera Nome,Arapiraca - AL CEP: 57304-970;(82) 3521-4599;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00";-9.759816;-36.660632
AC Atalaia - Agência Correio;Avenida Silvestre Pericles Nome, 622  - Centro Nome,Atalaia - AL CEP: 57690-970;(82) 3264-1373;"Segunda a sexta: Das 08:00 às 16:00	 Horário de almoço: Das 12:00 às 14:00 ";-9.503771;-36.020992
AC Barra de Santo Antônio  - Agência Correio;Avenida Pedro CavalcanteNome, 13  - Centro Nome,Barra de Santo Antônio - AL CEP: 57925-970;(82) 3291-1228;"Segunda a sexta: Das 08:00 às 16:00 	Horário de almoço: Das 12:00 às 14:00 ";-9.406796;-35.50556
